instance,arm,success,calls,input_tokens,cache_read,cache_write,output_tokens,cost_usd
astropy__astropy-13579,A0,1,15,1033779,930830,88479,39545,1.2476
sympy__sympy-23413,A0,0,9,437073,359798,76684,86503,1.6948
astropy__astropy-8707,A0,0,36,1546064,1469269,76098,8035,0.8488
sympy__sympy-15599,A0,1,33,2168628,2081774,60956,34567,1.4493
matplotlib__matplotlib-20826,A0,1,66,5468629,5310772,107029,49089,2.8834
django__django-11433,A0,1,41,2557697,2495195,61856,35069,1.5085
sphinx-doc__sphinx-11510,A0,0,66,4348821,4272896,73646,27006,1.97
django__django-13297,A0,1,30,2029755,1967438,61376,31449,1.2949
pytest-dev__pytest-7324,A0,1,14,657638,618576,38442,23103,0.6781
django__django-11087,A0,0,29,2063830,1988765,71391,38160,1.4478
sympy__sympy-23950,A0,1,20,915640,894105,20814,5768,0.435
django__django-16950,A0,1,27,2089928,2007572,81405,35150,1.4376
django__django-15280,A0,1,61,4820564,4730657,88629,41657,2.3802
django__django-12663,A0,1,56,3310915,3257423,51288,23145,1.5233
astropy__astropy-13977,A0,0,21,885780,862913,21353,4439,0.4101
django__django-11292,A0,1,29,1608527,1559249,48720,9898,0.8006
django__django-15037,A0,1,40,2902195,2813070,88484,34824,1.7
django__django-13837,A0,1,22,995924,968736,26311,7832,0.5094
pylint-dev__pylint-6528,A0,0,55,5148337,5025516,109526,32761,2.4497
pydata__xarray-6992,A0,0,7,276725,264786,11016,1165,0.141
django__django-11141,A0,0,42,2137360,2092572,44115,17603,1.0593
sympy__sympy-14976,A0,1,11,831833,786824,44265,6359,0.4997
matplotlib__matplotlib-20488,A0,1,53,3602040,3522333,77902,47234,2.0628
sympy__sympy-21612,A0,0,58,5031384,4942656,87947,57912,2.6836
django__django-15268,A0,1,20,1230713,1166419,63392,12956,0.7847
django__django-16263,A0,0,101,10137987,9981234,156070,97342,5.0418
matplotlib__matplotlib-26208,A0,0,42,2549968,2481535,67246,20366,1.3057
django__django-13121,A0,1,56,3826295,3750118,75282,42511,2.0477
django__django-12754,A0,1,28,2131143,2061448,68977,19309,1.1689
astropy__astropy-13453,A0,1,6,417430,383909,30603,3190,0.2865
matplotlib__matplotlib-22871,A0,0,21,998555,971369,26267,5813,0.4799
pydata__xarray-4966,A0,1,27,1284576,1255227,27376,6105,0.5767
psf__requests-5414,A0,1,30,1460463,1432625,26872,12019,0.7137
sphinx-doc__sphinx-10435,A0,1,13,1026760,965108,60265,14021,0.73
pylint-dev__pylint-4604,A0,0,45,2755967,2669702,63700,18105,1.3791
sphinx-doc__sphinx-8548,A0,1,47,3861894,3761646,99634,29739,1.95
django__django-16899,A0,1,16,621445,605680,15107,2790,0.2822
sphinx-doc__sphinx-7440,A0,0,53,3590953,3489151,88551,31471,1.8906
sympy__sympy-22456,A0,1,109,10827570,10402771,356264,161457,7.0843
astropy__astropy-13236,A0,0,31,2425887,2320511,54600,18203,1.3263
matplotlib__matplotlib-24177,A0,1,64,5646093,5554111,90890,36025,2.5507
sympy__sympy-18211,A0,1,22,1020981,974282,45987,10690,0.6272
django__django-16454,A0,1,17,865036,837269,26701,9363,0.495
django__django-14122,A0,1,10,1167375,1117497,48777,8946,0.6557
sphinx-doc__sphinx-10614,A0,0,22,1103868,1063694,38738,13789,0.6755
sphinx-doc__sphinx-8593,A0,1,41,2165601,2093298,44350,13349,1.0784
astropy__astropy-13033,A0,0,30,1343941,1311697,31013,11221,0.6818
django__django-11734,A0,0,79,8141396,7845759,202876,124550,5.261
django__django-11555,A0,1,61,4128226,4055112,72428,48204,2.2133
matplotlib__matplotlib-24026,A0,1,18,789616,770947,17489,4626,0.3698
